Total tasks: 176
Project: 25, ID: 151, What: Revisar Metas do Trimestre, Stage: completed, Status: completed
Project: 10, ID: 60, What: Solicitar Certificado Digital VM, Stage: completed, Status: completed
Project: 10, ID: 61, What: Fazer exclusão do Simples Nacional da Evolution Gás, Stage: completed, Status: completed
Project: 10, ID: 62, What: Lucro Real Gas Evolution, Stage: executing, Status: planned
Project: 10, ID: 64, What: AVCB, Stage: executing, Status: planned
Project: 4, ID: 103, What: Operação -> Fazer TTM dos Clientes para ver Capacidade Operacional, Stage: executing, Status: planned
Project: 9, ID: 104, What: Documentação fiscal e contábil para escrituração contabilidade, Stage: completed, Status: completed
Project: 22, ID: 105, What: Potencial de Faturamento de Cada Loja, Stage: executing, Status: planned
Project: 21, ID: 106, What: Erro contagem de estoque, Stage: inbox, Status: planned
Project: 21, ID: 107, What: Bruno irá enviar a foto da planilha no mesmo dia, Stage: inbox, Status: planned
Project: 17, ID: 110, What: MEIs e PJs para emitir notas fiscais para a Gas Evolution, Stage: executing, Status: planned
Project: 10, ID: 113, What: Tirar Pesquisa de situação fiscal (e-cac - Receita Federal) de todas as empresas do grupo (conforme planilha de controle), Stage: pending, Status: planned
Project: 25, ID: 168, What: [EXEMPLO] Sprint Task 1, Stage: todo, Status: planned
Project: 25, ID: 169, What: [EXEMPLO] Sprint Task 2, Stage: todo, Status: planned
Project: 10, ID: 65, What: Alvará de todos os Postos, Stage: executing, Status: planned
Project: 15, ID: 66, What: Reunião com os RTS., Stage: executing, Status: planned
Project: 3, ID: 68, What: Problemas relatados pelo Financeiro - A resolver com Azevedo, Stage: completed, Status: completed
Project: 3, ID: 70, What: Correção de Estoque do Sistema Vender Gás (saídas), Stage: completed, Status: completed
Project: 3, ID: 72, What: Diferença de vendas entre dados informados por Carla e pelo Estoque - BR, Stage: completed, Status: completed
Project: 3, ID: 73, What: Melhorar o desempenho do contas a pagar em relação aos pagamentos não passados por Azevedo para o financeiro, Stage: executing, Status: planned
Project: 4, ID: 75, What: Comercial -> Business Review clientes de Aracajú (Maceió ficará para depois), Stage: executing, Status: planned
Project: 20, ID: 76, What: Fazer um compilado de procedimentos para separar o que poderá ser utilizado, Stage: completed, Status: completed
Project: 3, ID: 77, What: Avançar com Retirada dos Cadernos, Stage: completed, Status: completed
Project: 20, ID: 78, What: Montar mapa de processos com a equipa para fazer a empresa funcionar, Stage: completed, Status: completed
Project: 21, ID: 108, What: Bruno irá lançar no próprio sistema a movimentação de estoque, Stage: inbox, Status: planned
Project: 25, ID: 170, What: [EXEMPLO] Sprint Task 3, Stage: todo, Status: planned
Project: 10, ID: 69, What: Meta de ter estoque sem diferenças no mês 12/2025, Stage: inbox, Status: planned
Project: 21, ID: 79, What: ðŸ“‹ Resumo da Reunião - Reunião de alinhamento de processos, Stage: completed, Status: completed
Project: 20, ID: 80, What: Potencial de Faturamento de Cada Loja, Stage: inbox, Status: planned
Project: 4, ID: 82, What: Comercial -> Business Review clientes de Fortaleza, Stage: waiting, Status: planned
Project: 10, ID: 83, What: Pendências Certificado, Stage: pending, Status: planned
Project: 9, ID: 84, What: Autorização - Molibdovanadato Reagente, Stage: completed, Status: completed
Project: 4, ID: 85, What: Comercial -> Business Review clientes de Salvador, Stage: waiting, Status: planned
Project: 19, ID: 86, What: Abrir lançamentos de reembolso de Lucivânia e Vicente e enviar para Manoel, Stage: executing, Status: planned
Project: 20, ID: 87, What: Criar cenários financeiros das 04 lojas, Stage: inbox, Status: planned
Project: 19, ID: 88, What: Interagir com o Vicente sobre a previsão do combustível dos RTS, Stage: inbox, Status: planned
Project: 19, ID: 89, What: Criar demonstrativo para Manoel referente aos gastos e fazer curva de evolução, Stage: inbox, Status: planned
Project: 17, ID: 90, What: Alterar Cartões de Crédito da conta da Gás Evolution para outra conta, Stage: executing, Status: planned
Project: 10, ID: 91, What: Lembrete TFF, Stage: completed, Status: completed
Project: 18, ID: 92, What: Resumo da Reunião - Reunião Carla e Azevedo - Faturamento e Puxada de Gás., Stage: inbox, Status: completed
Project: 10, ID: 93, What: Certificado Digital VM (Ou Procuração), Stage: executing, Status: planned
Project: 4, ID: 94, What: Comerciais -> Visitas aos clientes atuais, Stage: executing, Status: planned
Project: 14, ID: 95, What: Fazer Cadastro da Gandu no Leilão da Caixa, Stage: executing, Status: planned
Project: 4, ID: 96, What: Comercial -> Business Review e agendamento (Aracajú e Maceió), Stage: completed, Status: completed
Project: 4, ID: 97, What: Piramide de Vendas - Todas as regionais, Stage: waiting, Status: planned
Project: 8, ID: 98, What: Arquitetura / Mapa de Processos, Stage: waiting, Status: planned
Project: 8, ID: 99, What: Resumo da Reunião - Reunião de Início de Contrato, Stage: completed, Status: completed
Project: 8, ID: 100, What: Validação do Planejamento Inicial, Stage: waiting, Status: planned
Project: 14, ID: 101, What: Fazer visita no imóvel do Tribeca que irá para leilão, Stage: completed, Status: completed
Project: 4, ID: 102, What: Custos Por Cliente e Por RTS - Planilha / Sistemas, Stage: waiting, Status: planned
Project: 25, ID: 171, What: [DIARIO] Enviar Relatório MCP, Stage: todo, Status: planned
Project: 16, ID: 172, What: REPRO BUG TASK, Stage: inbox, Status: planned
Project: 10, ID: 114, What: IPTU que precisam ser alterados para alvará, Stage: waiting, Status: planned
Project: 17, ID: 115, What: Ajustar Sistema para emissão de Notas Fiscais, Stage: executing, Status: planned
Project: 15, ID: 116, What: Trilha Dia a Dia -> Etapa 01, Stage: executing, Status: planned
Project: 15, ID: 117, What: Trilha Dia a Dia -> Etapa 02, Stage: executing, Status: planned
Project: 17, ID: 119, What: Fazer balanço de Abertura Evolution Gás, Stage: executing, Status: planned
Project: 17, ID: 120, What: Alterar entrega nas NF e do Estoque de Carla para Quesia e depois para Carla, Stage: completed, Status: completed
Project: 12, ID: 121, What: Live Privilege - Novo anuncio, Stage: inbox, Status: planned
Project: 12, ID: 122, What: Live Prestige - Recuperar Diferença do ITIV, Stage: inbox, Status: planned
Project: 15, ID: 123, What: Trilha Dia a Dia -> Etapa 03, Stage: waiting, Status: planned
Project: 17, ID: 124, What: Colocar Dominio para funcionar para Quesia lançar questões fiscais, Stage: executing, Status: planned
Project: 12, ID: 125, What: Life Prestige, Stage: inbox, Status: planned
Project: 4, ID: 126, What: Comercial -> Cronograma de Business Review clientes de Salvador, Stage: pending, Status: planned
Project: 15, ID: 127, What: Trilha Extras -> Etapa Única, Stage: executing, Status: planned
Project: 8, ID: 128, What: Identidade Organizacional, Stage: waiting, Status: planned
Project: 20, ID: 129, What: Avaliar planos de remuneração enviados por Adenize e Magno, Stage: completed, Status: completed
Project: 17, ID: 130, What: Buscar informações junto ao Banco Itau sobre a migração dos contratos das maquinas de cartão para outro CNPJ, Stage: executing, Status: planned
Project: 4, ID: 137, What: Verificar Faturamento Ideal da Empresa Nova e Atual, Stage: completed, Status: completed
Project: 21, ID: 138, What: Bruno irá enviar a foto da planilha no mesmo dia, Stage: inbox, Status: planned
Project: 21, ID: 139, What: Bruno irá lançar no próprio sistema a movimentação de estoque, Stage: inbox, Status: planned
Project: 21, ID: 140, What: Consertar Estoques Postos de Sandro, Stage: executing, Status: planned
Project: 4, ID: 141, What: Propostas Paralela e Bela Vista, Stage: pending, Status: planned
Project: 22, ID: 142, What: Revisar as Rúbricas de Gastos para Orçamento, Stage: completed, Status: completed
Project: 4, ID: 143, What: Operação -> Data Shett dos Clientes, Stage: executing, Status: planned
Project: 16, ID: 173, What: REPRO BUG TASK, Stage: inbox, Status: planned
Project: 4, ID: 145, What: 📋 Resumo da Reunião - 2025.11.04 - Reunião Gerencial Semanal, Stage: completed, Status: completed
Project: 22, ID: 146, What: Visitar todas as lojas para ver o funcionamento, problemas e acertos de perto, Stage: waiting, Status: planned
Project: 23, ID: 147, What: Arquitetura / Mapa de Processos, Stage: executing, Status: planned
Project: 8, ID: 148, What: Reunião e entrevistas com colaboradores, Stage: waiting, Status: planned
Project: 23, ID: 149, What: Reunião e entrevistas com colaboradores, Stage: completed, Status: completed
Project: 23, ID: 150, What: Validação do Planejamento Inicial, Stage: waiting, Status: planned
Project: 26, ID: 177, What: Fase 3 - Assistente de Reunioes em Producao, Stage: completed, Status: completed
Project: 26, ID: 175, What: Fase 1 - Motor de Menus em Banco, Stage: completed, Status: completed
Project: 10, ID: 71, What: Resolver questão do fiado do Cabula, Stage: inbox, Status: planned
Project: 26, ID: 176, What: Fase 2 - Assistente de Afazeres em Producao, Stage: completed, Status: completed
Project: 26, ID: 174, What: Fase 0 - Estabilizacao do Nucleo, Stage: completed, Status: completed

States distribution: {'completed': 58, 'inbox': 36, 'todo': 8, 'executing': 42, 'waiting': 23, 'pending': 9}
