source_text,source_code,source_name,target_id,target_code,target_name,reason
5.05.999 - Outros Custos Operacionais,5.05.999,Outros Custos Operacionais,149,7.5.007,Outros Custos Operacionais,explicit_code_map
4.01.002 - Insumos - Reagentes,4.01.002,Insumos - Reagentes,101,6.1.002,Insumos - Reagentes,explicit_code_map
7.03.008 - Telefonia e Internet - Adm,7.03.008,Telefonia e Internet - Adm,179,8.3.008,Telefonia e Internet - Adm,explicit_code_map
5.01.001 - Salarios - Operacao,5.01.001,Salarios - Operacao,106,7.1.001,Salarios - Operacao,explicit_code_map
5.01.009 - FGTS - Operacao,5.01.009,FGTS - Operacao,114,7.1.009,FGTS - Operacao,explicit_code_map
7.03.010 - Sistema de Informacao,7.03.010,Sistema de Informacao,181,8.3.010,Sistema de Informacao,explicit_code_map
7.01.001 - Salarios - Adm/Coml,7.01.001,Salarios - Adm/Coml,152,8.1.001,Salarios - Adm/Coml,explicit_code_map
6.01.004 - ISS Sobre Vendas,6.01.004,ISS Sobre Vendas,96,4.01.004,ISS Sobre Vendas,explicit_code_map
6.01.002 - ISS Retido NF,6.01.002,ISS Retido NF,94,4.01.002,ISS Retido NF,explicit_code_map
7.05.002 - Taxas e Impostos Bancarios,7.05.002,Taxas e Impostos Bancarios,192,8.5.002,Taxas e Impostos Bancarios,explicit_code_map
5.05.003 - Servicos Laboratoriais Terceirizados - Operacao,5.05.003,Servicos Laboratoriais Terceirizados - Operacao,145,7.5.003,Servicos Laboratoriais Terceirizados - Operacao,explicit_code_map
7.04.999 - Outras Despesas Tributarias,7.04.999,Outras Despesas Tributarias,189,8.4.002,Outras Despesas Tributarias,explicit_code_map
5.01.012 - PJ - OPERACAO,5.01.012,PJ - OPERACAO,117,7.1.012,PJ - OPERACAO,explicit_code_map
5.02.002 - Locacao de Veiculos - Operacao,5.02.002,Locacao de Veiculos - Operacao,122,7.2.002,Locacao de Veiculos - Operacao,explicit_code_map
3.02.001 - Receita de Venda de Mercadorias,3.02.001,Receita de Venda de Mercadorias,82,3.02.001,Receita de Vendas Mercadorias,explicit_code_map
7.03.012 - Assessoria / Consultoria de Gestao,7.03.012,Assessoria / Consultoria de Gestao,183,8.3.012,Assessoria / Consultoria de Gestao,explicit_code_map
7.03.013 - Assessoria / Consultoria Juridica,7.03.013,Assessoria / Consultoria Juridica,184,8.3.013,Assessoria / Consultoria Juridica,explicit_code_map
7.02.004 - Despesas com Viagens - Comercial,7.02.004,Despesas com Viagens - Comercial,169,8.2.004,Despesas com Viagens - Comercial,explicit_code_map
6.01.003 - ICMS Sobre Vendas,6.01.003,ICMS Sobre Vendas,95,4.01.003,ICMS Sobre Vendas,explicit_code_map
7.01.003 - Alimentacao - Adm/Coml,7.01.003,Alimentacao - Adm/Coml,154,8.1.003,Alimentacao - Adm/Coml,explicit_code_map
5.02.999 - Outros Gastos com Veiculos - Operacao,5.02.999,Outros Gastos com Veiculos - Operacao,129,7.2.009,Outros Gastos com Veiculos - Operacao,explicit_code_map
5.04.001 - Alguel Imoveis - Operacao,5.04.001,Alguel Imoveis - Operacao,136,7.4.001,Alguel Imoveis - Operacao,explicit_code_map
5.05.002 - Servicos em Clientes Contratos - Operacao,5.05.002,Servicos em Clientes Contratos - Operacao,144,7.5.002,Servicos em Clientes Contratos - Operacao,explicit_code_map
5.01.011 - Fardamento - Operacao,5.01.011,Fardamento - Operacao,116,7.1.011,Fardamento - Operacao,explicit_code_map
7.03.011 - Honorarios Contabeis,7.03.011,Honorarios Contabeis,182,8.3.011,Honorarios Contabeis,explicit_code_map
5.05.004 - Comunicacao Operacao,5.05.004,Comunicacao Operacao,146,7.5.004,Comunicacao Operacao,explicit_code_map
